rcparte0.jpg#0	Vehículo B impacta a vehículo A en cruce.
rcparte0.jpg#1	Vehículo A es impactado en lateral derecho por vehiculo B en cruce de calles.
rcparte0.jpg#2	Colisión de vehículo B contra lateral de vehículo A en intersección de calles.
rcparte1.jpg#0	Vehículo B colisiona a vehículo A en lateral izquierdo en calle doble sentido.
rcparte1.jpg#1	Mientras intenta doblar hacia la derecha vehículo A es impactado en lateral izquierdo por vehículo B que circulaba en sentido contrario.
rcparte1.jpg#2	Vehículo B impacta en su lateral izquierdo a vehículo A mientras intentaba realizar un giro a la derecha.
rcparte2.jpg#0	En calle curvada doble sentido, frente de vehículo B colisiona a vehículo A en lateral izquierdo.
rcparte2.jpg#1	Vehículo A es impactado en su lateral izquierdo por vehículo B mientras transitaban por via doble sentido.
rcparte2.jpg#2	Vehículo B choca al lateral izquierdo de vehículo A en calle doble sentido.
rcparte3.jpg#0	Vehículo A cruza de carril e impacta en esquina trasera derecha de vehículo B.
rcparte3.jpg#1	Vehículo B es chocado en su lateral trasero derecho por vehículo A que traspasa su carril.
rcparte3.jpg#2	Impacto en lateral derecho de vehículo B por parte de vehículo A que cruza de carril.
rcparte4.jpg#0	vehículo A y vehículo B colisionan en plaza de sentido giratorio.
rcparte4.jpg#1	Impacto frontal entre vehículo A y vehículo B en una plaza de sentido giratorio.
rcparte4.jpg#2	En una plaza de sentido giratorio, vehículo A y vehículo B chocan partes frontales.
rcparte5.jpg#0	Vehículo B cruza de carril e impacta sobre parte trasera izquierda de Vehículo A.
rcparte5.jpg#1	Vehículo A es impactado en su parte trasera izquierda por vehículo B que intentaba salir de la carretera.
rcparte5.jpg#2	Al intentar abandonar la carretera, vehículo B impacta sobre luneta izquierda de vehículo A.
rcparte6.jpg#0	Vehículo A se incorpora a carretera y colisiona con vehículo B que transitaba en ella.
rcparte6.jpg#1	Vehículo B transita por carretera y es colisionado por vehículo A que se incorporaba a ella.
rcparte6.jpg#2	Vehículo A choca contra vehículo B al querer incorporarse a la carretera.
rcparte7.jpg#0	En carretera sinuosa de doble sentido, vehículo B impacta a vehículo A que transitaba por carril contrario.
rcparte7.jpg#1	Vehículo B impacta a vehículo A en carretera doble sentido.
rcparte7.jpg#2	Vehículo A es chocado por vehículo B que venia circulando en sentido contrario.
rcparte8.jpg#0	Vehículo B cruza de carril e impacta sobre vehículo A.
rcparte8.jpg#1	En via sentido único, vehículo A es impactado por vehículo B que trasgrede de carril.
rcparte8.jpg#2	vehículo A y vehículo B colisionan en via de sentido único.
rcparte9.jpg#0	En cruce de vías, vehículo A impacta en costado de vehículo B.
rcparte9.jpg#1	Vehículo B es impactado por vehículo A en cruce de calles.
rcparte9.jpg#2	Vehículo A choca a vehículo B en cruce de vías.
rcparte10.jpg#0	Vehículo A dobla hacia la derecha e impacta sobre vehículo B que se encontraba pronto a doblar.
rcparte10.jpg#1	Mientras hace un giro a la derecha, vehículo A colisiona con vehículo B que estaba por incorporase a la vía.
rcparte10.jpg#2	Vehículo B es impactado por vehículo A que se encontraba en maniobra de giro a la derecha.
rcparte11.jpg#0	Choque frontal entre vehículo A y vehículo B mientras circulaban en carretera doble sentido.
rcparte11.jpg#1	Impacto frontal entre vehículo A y vehículo B en via doble sentido.
rcparte11.jpg#2	vehículo A y vehículo B colisionan frontalmente en carretera doble sentido.
rcparte12.jpg#0	Vehículo B impacta a vehículo A que se incorporaba a carretera.
rcparte12.jpg#1	Vehículo A es chocado por vehículo B al querer incorporarse a la vía.
rcparte12.jpg#2	Vehículo A dobla hacia la derecha para incorporarse a carretera y choca con vehículo B que venía circulando por ella.
rcparte13.jpg#0	Accidente frontal entre vehículo A y vehículo B en tanto vehículo A dobla hacia la izquierda para tomar otra calle.
rcparte13.jpg#1	Vehículo A hace giro a la izquierda para abandonar carretera e impacta con vehículo B que transitaba de frente.
rcparte13.jpg#2	Vehiculo B impacta frontalmente con vehículo A mientras este último hace giro para abandonar carretera.
rcparte14.jpg#0	Impacto frontal entre vehículo A y vehículo B en cruce de carreteras.
rcparte14.jpg#1	Choque de frente entre los vehículo A y vehículo B en interseccion de calles.
rcparte14.jpg#2	vehículo A y vehículo B colisionan de frente en un cruce de carreteras.
rcparte15.jpg#0	vehículo A y vehículo B chocan en salida de plaza de sentido giratorio.
rcparte15.jpg#1	Colisión frontal entre Vehículo B que ingresa a plaza de sentido giratorio y vehículo A que la abandona. 
rcparte15.jpg#2	Vehículo A sale de plaza de sentido giratorio e impacta frontalmente con vehículo B que se encuentra ingresando a ella.
rcparte16.jpg#0	En cruce de carreteras vehículo A y vehículo B giran en misma direccion y colisionan.
rcparte16.jpg#1	Choque de vehículo A y vehículo B al doblar en mismo sentido en un cruce de carreteras.
rcparte16.jpg#2	En intersección de calles, vehículo A y vehículo B colisionan al doblar hacia el mismo sentido.
rcparte17.jpg#0	Vehículo A cruza de carril en calle con doble sentido y colisiona sobre vehículo B.
rcparte17.jpg#1	Vehículo B es impactado por vehículo A que se cruza de carril en calle con doble sentido.
rcparte17.jpg#2	Impacto en via doble sentido en tanto vehículo A traspasa carril y colisiona con vehículo B.
rcparte18.jpg#0	Vehículo B se incorpora a plaza de sentido giratorio e impacta con vehículo A que se encontraba circulando en ella.
rcparte18.jpg#1	Vehículo A se encuentra circulando por una plaza de sentido giratorio cuando vehículo B ingresa y lo impacta.
rcparte18.jpg#2	Colisión en plaza de sentido giratorio en tanto vehículo B ingresa e impacta a vehículo A que circulaba sobre ella.
rcparte19.jpg#0	Vehículo B es impactado desde atrás por vehículo A en via.
rcparte19.jpg#1	Vehículo A choca a vehículo B por detrás en calle con único sentido.
rcparte19.jpg#2	Vehículo A embiste a vehículo B en parte trasera sobre calle con sentido único.
rcparte20.jpg#0	Vehículo A se incorpora a carretera y es impactado por vehículo B que circulaba por ella.
rcparte20.jpg#1	Vehículo B choca contra vehículo A que se incorporaba a la carretera.
rcparte20.jpg#2	Vehículo A hace un giro a la derecha para incorporarse a la carretera y es embestido por vehículo B.
rcparte21.jpg#0	Colisión frontal entre vehículo A y vehículo B.
rcparte21.jpg#1	vehículo A y vehículo B chocan de frente.
rcparte21.jpg#2	Vehículo A impacta frontalmente contra vehículo B.
rcparte22.jpg#0	Vehículo B traspasa carril e impacta sobre vehículo A.
rcparte22.jpg#1	Vehículo A choca con vehículo B que se interpone en el carril.
rcparte22.jpg#2	Vehículo B gira de carril hacia la derecha e impacta sobre vehículo A que venía circulando por él.
rcparte23.jpg#0	Vehículo A traspasa carril e impacta sobre vehículo B.
rcparte23.jpg#1	Vehículo B choca con vehículo A que se interpone en el carril.
rcparte23.jpg#2	Vehículo A gira de carril hacia la derecha e impacta sobre vehículo B que venía circulando por él.
rcparte24.jpg#0	Vehículo A se incorpora a calle e impacta en el lateral sobre vehículo B que circulaba por ella.
